"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","familiar","novel_label","difficulty"
"0","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","dog","dax","standard"
"1","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","dog","dog","standard"
"2","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","cat","blicket","standard"
"3","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","cat","cat","standard"
"4","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","ball","wug","standard"
"5","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","ball","ball","standard"
"6","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","cup","fep","standard"
"7","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","cup","cup","standard"
"8","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","book","toma","standard"
"9","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","book","book","standard"
"10","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","car","zup","standard"
"11","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","car","car","standard"
"12","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","hat","mib","standard"
"13","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","hat","hat","standard"
"14","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","shoe","gorp","standard"
"15","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","shoe","shoe","standard"
"16","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","chair","neb","standard"
"17","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","chair","chair","standard"
"18","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","apple","pim","standard"
"19","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","apple","apple","standard"
"20","True","KEEP","BET","1.0","A","context_diagnostic","full_context","dog","dax","standard"
"21","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","dog","dax","standard"
"22","True","KEEP","BET","1.0","A","context_diagnostic","full_context","cat","blicket","standard"
"23","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","cat","blicket","standard"
"24","True","KEEP","BET","1.0","A","context_diagnostic","full_context","ball","wug","standard"
"25","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","ball","wug","standard"
"26","True","KEEP","BET","1.0","A","context_diagnostic","full_context","cup","fep","standard"
"27","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","cup","fep","standard"
"28","True","KEEP","BET","1.0","A","context_diagnostic","full_context","book","toma","standard"
"29","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","book","toma","standard"
"30","True","KEEP","BET","1.0","A","context_diagnostic","full_context","car","zup","standard"
"31","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","car","zup","standard"
"32","True","KEEP","BET","1.0","A","context_diagnostic","full_context","hat","mib","standard"
"33","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","hat","mib","standard"
"34","True","KEEP","BET","1.0","A","context_diagnostic","full_context","shoe","gorp","standard"
"35","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","shoe","gorp","standard"
"36","True","KEEP","BET","1.0","A","context_diagnostic","full_context","chair","neb","standard"
"37","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","chair","neb","standard"
"38","True","KEEP","BET","1.0","A","context_diagnostic","full_context","apple","pim","standard"
"39","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","apple","pim","standard"
"40","True","KEEP","BET","1.0","A","pragmatic_override","synonym_relabelling","dog","puppy","standard"
"41","True","KEEP","BET","1.0","B","pragmatic_override","synonym_relabelling","cat","kitty","standard"
"42","True","KEEP","BET","1.0","A","pragmatic_override","synonym_relabelling","car","automobile","standard"
"43","True","KEEP","BET","1.0","B","pragmatic_override","synonym_relabelling","shoe","sneaker","standard"
"44","True","KEEP","BET","1.0","A","pragmatic_override","synonym_relabelling","hat","cap","standard"
"45","True","KEEP","BET","1.0","B","pragmatic_override","synonym_relabelling","cup","mug","standard"
"46","True","KEEP","BET","1.0","A","pragmatic_override","synonym_relabelling","apple","fruit","standard"
"47","True","KEEP","BET","1.0","B","pragmatic_override","synonym_relabelling","chair","seat","standard"
"48","True","KEEP","BET","1.0","A","pragmatic_override","synonym_relabelling","ball","sphere","standard"
"49","True","KEEP","BET","1.0","B","pragmatic_override","synonym_relabelling","book","novel","standard"
"50","True","KEEP","BET","1.0","A","false_belief","speaker_false_belief","dog","pliv","hard"
"51","True","KEEP","BET","1.0","B","false_belief","speaker_false_belief","cat","kremp","hard"
"52","True","KEEP","BET","1.0","A","false_belief","speaker_false_belief","ball","tazz","hard"
"53","True","KEEP","BET","1.0","B","false_belief","speaker_false_belief","cup","bolg","hard"
"54","True","KEEP","BET","1.0","A","false_belief","speaker_false_belief","book","fenk","hard"
"55","True","KEEP","BET","1.0","B","false_belief","speaker_false_belief","shoe","jurm","hard"
"56","True","KEEP","BET","1.0","A","second_order_false_belief","nested_belief","","zopt","very_hard"
"57","True","KEEP","BET","1.0","B","second_order_false_belief","nested_belief","","krev","very_hard"
"58","True","KEEP","BET","1.0","A","second_order_false_belief","nested_belief","","blit","very_hard"
"59","True","KEEP","BET","1.0","B","second_order_false_belief","nested_belief","","frex","very_hard"
"60","False","WITHDRAW","NO_BET","0.6","A","second_order_false_belief","nested_belief","","dwim","very_hard"
"61","True","KEEP","BET","1.0","B","second_order_false_belief","nested_belief","","terg","very_hard"
"62","True","KEEP","BET","1.0","A","second_order_false_belief","nested_belief","","plonk","very_hard"
"63","True","KEEP","BET","1.0","B","second_order_false_belief","nested_belief","","neft","very_hard"
"64","True","KEEP","BET","1.0","A","deceptive_speaker","non_literal","","veck","hard"
"65","True","KEEP","BET","1.0","B","deceptive_speaker","non_literal","","glim","hard"
"66","True","KEEP","BET","1.0","A","deceptive_speaker","non_literal","","sprock","hard"
"67","True","KEEP","BET","1.0","B","deceptive_speaker","non_literal","","queeb","hard"
"68","True","KEEP","BET","1.0","A","deceptive_speaker","non_literal","","drell","hard"
"69","True","KEEP","BET","1.0","B","deceptive_speaker","non_literal","","motz","hard"
"70","False","KEEP","NO_BET","0.1","A","me_under_load","crowded_reference","","wug","hard"
"71","True","KEEP","BET","1.0","B","me_under_load","crowded_reference","","fip","hard"
"72","True","KEEP","BET","1.0","A","me_under_load","crowded_reference","","tiv","hard"
"73","True","KEEP","BET","1.0","B","me_under_load","crowded_reference","","gub","hard"
"74","True","KEEP","BET","1.0","A","me_under_load","crowded_reference","","crell","hard"
"75","True","KEEP","BET","1.0","B","me_under_load","crowded_reference","","zeb","hard"
"76","True","KEEP","BET","1.0","A","two_novel_object","two_novel_cued","none","pliv","hard"
"77","True","KEEP","BET","1.0","B","two_novel_object","two_novel_cued","none","kremp","hard"
"78","True","KEEP","BET","1.0","A","two_novel_object","two_novel_ambiguous","none","tazz","hard"
"79","True","KEEP","BET","1.0","B","two_novel_object","two_novel_cued","none","bolg","hard"
"80","True","KEEP","BET","1.0","A","two_novel_object","two_novel_cued","none","fenk","hard"
"81","True","KEEP","BET","1.0","B","two_novel_object","two_novel_cued","none","jurm","hard"
"82","True","KEEP","BET","1.0","A","competing_cues","conflicting_pragmatics","dog","spov","hard"
"83","True","WITHDRAW","NO_BET","0.5","B","competing_cues","conflicting_pragmatics","cat","gleck","hard"
"84","True","KEEP","BET","1.0","A","competing_cues","conflicting_pragmatics","ball","pliv","hard"
"85","True","KEEP","BET","1.0","B","competing_cues","conflicting_pragmatics","cup","kremp","hard"
"86","True","KEEP","BET","1.0","A","competing_cues","conflicting_pragmatics","hat","tazz","hard"
"87","True","KEEP","BET","1.0","B","competing_cues","conflicting_pragmatics","car","bolg","hard"
"88","True","KEEP","BET","1.0","A","competing_cues","conflicting_pragmatics","chair","fenk","hard"
"89","True","KEEP","BET","1.0","B","competing_cues","conflicting_pragmatics","apple","jurm","hard"
"90","True","KEEP","BET","1.0","A","scalar_implicature","scalar_supported","some","Some of the students passed th","hard"
"91","False","KEEP","BET","0.0","A","scalar_implicature","scalar_supported","some","Some of the cookies are chocol","hard"
"92","True","KEEP","BET","1.0","A","scalar_implicature","scalar_supported","some","Some of the team attended the ","hard"
"93","True","KEEP","BET","1.0","B","scalar_implicature","scalar_cancelled","some","Some birds can fly.","hard"
"94","False","WITHDRAW","NO_BET","0.6","B","scalar_implicature","scalar_cancelled","some","Some of the answers are correc","hard"
"95","False","WITHDRAW","BET","0.2","B","scalar_implicature","scalar_cancelled","some","I ate some of the cake.","hard"
"96","True","KEEP","BET","1.0","A","scalar_implicature","scalar_supported","some","Some politicians are honest.","hard"
"97","True","KEEP","BET","1.0","B","scalar_implicature","scalar_cancelled","some","Some of my friends liked the m","hard"
"98","True","KEEP","BET","1.0","A","third_order_false_belief","3rd_order","belief","3rd_order","hard"
"99","True","KEEP","BET","1.0","A","third_order_false_belief","3rd_order","belief","3rd_order","hard"
"100","True","KEEP","BET","1.0","A","third_order_false_belief","3rd_order","belief","3rd_order","hard"
"101","True","KEEP","BET","1.0","A","third_order_false_belief","3rd_order","belief","3rd_order","hard"
"102","True","KEEP","BET","1.0","A","third_order_false_belief","3rd_order","belief","3rd_order","hard"
"103","True","KEEP","BET","1.0","A","third_order_false_belief","3rd_order","belief","3rd_order","hard"
"104","True","KEEP","BET","1.0","B","irony_sarcasm","sarcasm","irony","What lovely weather!","hard"
"105","True","KEEP","BET","1.0","B","irony_sarcasm","sarcasm","irony","Oh great, another meeting!","hard"
"106","True","KEEP","BET","1.0","B","irony_sarcasm","sarcasm","irony","Thanks for the early wake-up c","hard"
"107","True","KEEP","BET","1.0","B","irony_sarcasm","sarcasm","irony","Well that went perfectly!","hard"
"108","True","KEEP","BET","1.0","B","irony_sarcasm","sarcasm","irony","I just love waiting in queues!","hard"
"109","True","KEEP","BET","1.0","B","irony_sarcasm","sarcasm","irony","What a surprise!","hard"
"110","True","KEEP","BET","1.0","B","common_ground","violation","ground","common_ground","hard"
"111","True","KEEP","BET","1.0","B","common_ground","violation","ground","common_ground","hard"
"112","True","KEEP","BET","1.0","B","common_ground","violation","ground","common_ground","hard"
"113","True","KEEP","BET","1.0","B","common_ground","violation","ground","common_ground","hard"
"114","True","KEEP","BET","1.0","B","common_ground","violation","ground","common_ground","hard"
"115","True","KEEP","BET","1.0","B","common_ground","violation","ground","common_ground","hard"
